82s;0.40;0.26;0.19;0.16;0.13;0.12;0.11;0.10;0.09;
82o;0.37;0.22;0.15;0.11;0.09;0.08;0.06;0.06;0.05;
77;0.66;0.46;0.34;0.27;0.22;0.19;0.16;0.15;0.14;
76s;0.46;0.32;0.25;0.21;0.18;0.16;0.14;0.13;0.12;
76o;0.43;0.29;0.22;0.17;0.14;0.12;0.11;0.10;0.09;
75s;0.44;0.30;0.23;0.19;0.17;0.15;0.13;0.12;0.11;
75o;0.41;0.27;0.20;0.16;0.13;0.11;0.10;0.09;0.08;
74s;0.42;0.28;0.22;0.18;0.15;0.14;0.12;0.11;0.10;
74o;0.39;0.25;0.18;0.14;0.11;0.10;0.09;0.08;0.07;
73s;0.40;0.26;0.20;0.16;0.14;0.12;0.11;0.10;0.09;
73o;0.37;0.22;0.16;0.12;0.10;0.08;0.07;0.06;0.06;
72s;0.38;0.25;0.18;0.15;0.13;0.11;0.10;0.09;0.09;
72o;0.35;0.20;0.14;0.11;0.09;0.07;0.06;0.05;0.05;
66;0.63;0.43;0.32;0.25;0.20;0.17;0.15;0.14;0.13;
65s;0.43;0.30;0.24;0.20;0.17;0.15;0.14;0.13;0.12;
65o;0.40;0.27;0.20;0.16;0.13;0.12;0.10;0.09;0.09;
64s;0.41;0.29;0.22;0.18;0.16;0.14;0.13;0.12;0.11;
64o;0.38;0.25;0.18;0.14;0.12;0.10;0.09;0.08;0.08;
63s;0.39;0.27;0.20;0.17;0.15;0.13;0.12;0.11;0.10;
63o;0.36;0.23;0.16;0.13;0.11;0.09;0.08;0.07;0.07;
62s;0.38;0.25;0.19;0.15;0.13;0.12;0.11;0.10;0.09;
62o;0.34;0.21;0.15;0.11;0.09;0.08;0.07;0.06;0.05;
55;0.60;0.40;0.29;0.22;0.19;0.16;0.14;0.13;0.12;
54s;0.41;0.29;0.23;0.19;0.17;0.15;0.14;0.13;0.12;
54o;0.38;0.25;0.19;0.15;0.13;0.11;0.10;0.09;0.08;
53s;0.39;0.27;0.21;0.18;0.15;0.14;0.13;0.12;0.11;
53o;0.36;0.23;0.17;0.14;0.11;0.10;0.09;0.08;0.07;
52s;0.38;0.25;0.20;0.16;0.14;0.13;0.11;0.11;0.10;
52o;0.34;0.21;0.15;0.12;0.10;0.09;0.08;0.07;0.06;
44;0.57;0.37;0.26;0.21;0.17;0.15;0.14;0.13;0.12;
43s;0.38;0.26;0.20;0.17;0.15;0.13;0.12;0.11;0.10;
43o;0.34;0.22;0.16;0.13;0.11;0.09;0.08;0.08;0.07;
42s;0.36;0.25;0.19;0.16;0.14;0.12;0.11;0.10;0.10;
42o;0.33;0.21;0.15;0.12;0.10;0.08;0.07;0.07;0.06;
33;0.54;0.34;0.24;0.19;0.16;0.15;0.14;0.13;0.12;
32s;0.35;0.24;0.18;0.15;0.13;0.12;0.11;0.10;0.09;
32o;0.31;0.20;0.14;0.11;0.09;0.08;0.07;0.06;0.06;
22;0.50;0.31;0.22;0.18;0.16;0.14;0.13;0.13;0.12;
